time,posx,posy,posz,vprelx,vprely,vprelz,vgrelx,vgrely,vgrelz,nx,ny,nz,Bx,By,Bz,w,qs1,qs2,qs3,qs4,ms1,ms2,ms3,ms4,Ns1,Ns2,Ns3,Ns4,psi,theta_res,Y,L,alt,lat,lon,damp,S_stix,D_stix,P_stix,R_stix,L_stix,wce
18.10449034309387,-2731698.856909819,12262239.28553692,-109572.0628756469,-0.0001701931370961114,0.0007564312997573043,-1.433443175713375e-05,-4.8532309707065524e-05,0.00021858310159965269,0.01141492045221445,-283.0139702036296,1257.868730686308,-23.83670993683155,-2.315004150374763e-08,1.039176254272461e-07,4.0682460854223785e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028541627.0950923,1637141588.038308,169175307.6516888,222224731.4050946,89.56008700472847,89.59315232463167,0.033065319903201384,1.9698954852946158,12563307.565190395,-0.4997168393969531,-0.08002176803149373,0.33353726546129614,1.358279889985397,583.0699207648534,-26937.436210211563,584.4282006548387,-581.711640874868,-715697.4698653253
18.11380356884003,-2731807.885126562,12262730.73609301,-77698.30545130832,-0.00016898608563566608,0.0007510704508818976,-8.372997416435262e-06,-2.9392318089538124e-05,0.00013266179851122872,0.01133532417729815,-285.0963605643515,1267.130670956627,-14.12608074481955,-1.6414816232150048e-08,7.368386840820312e-08,4.068449473112964e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028539576.980188,1637161182.622606,169173853.2680969,222204541.0894857,89.56013609411372,89.59271928753732,0.03258319342360494,1.969862662365052,12563573.39509066,-0.35434292585638616,-0.08002378817835751,0.33296240723980947,1.361171586674402,583.1394199495585,-26937.409127561536,584.500591536233,-581.7782483628841,-715611.4456488523
18.123116794586178,-2731863.983498988,12262984.57440971,-46045.23311478796,-0.00016923326613206818,0.0007521730065788922,-2.553745041495269e-06,-1.077664359877684e-05,4.909955134221117e-05,0.01135766611420766,-284.7076606350484,1265.4097033663988,-4.296263927536994,-9.727502913672536e-09,4.36653060913086e-08,4.068651241841894e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028549625.754577,1637177611.563467,169174188.7881334,222197825.4029765,89.5598304020587,89.59249394390349,0.032663541844797805,1.969830097606692,12563677.473576041,-0.20998656131823168,-0.08002579130114802,0.33239411290165766,1.3626850480422377,583.1785084976373,-26937.54262802987,584.5411935456796,-581.8158234495951,-715567.0229117702
18.13243002033234,-2731867.882694304,12263004.10505549,-14345.743868550733,-0.0001679806818785012,0.0007466088260815537,3.2516790458963902e-06,7.873221667281822e-06,-3.462158414015766e-05,0.01126715790337229,-286.8263850941507,1274.83177392535,5.55222979089612,-3.0307071086634402e-09,1.360458660125733e-08,4.068854140860916e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028571890.418156,1637191082.58869,169176317.302652,222204490.5268145,89.56028051041503,89.59247330108344,0.03219279066841807,1.9697973842178529,12563621.198104935,-0.06542307693739247,-0.08002780200808089,0.33181344578089045,1.362838070745397,583.1876543915429,-26937.838266099636,584.5504924622883,-581.8248163207975,-715563.6533472813
18.13719839191437,-2731849.6459948057,12262923.28231443,1739.587599597464,-0.0001537094647212759,0.0006831801335642371,5.601617431418449e-06,1.588724769720772e-05,-7.065394943862103e-05,0.010238218358843709,-313.4413459778135,1393.127619030976,11.422709138571038,3.6750048029317787e-10,-1.649762511253357e-09,4.068958057827777e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028588010.4699872,1637196824.722045,169178100.6683959,222213085.07954684,89.56548024095153,89.59254180545253,0.027061564500996838,1.9697805981178746,12563530.27386874,0.007933361538988493,-0.08002883278412651,0.33143153046965,1.3623907375572344,583.1807656349274,-26938.052286987004,584.5431563724846,-581.8183748973702,-715577.7918725049
18.1419667634964,-2731821.214372825,12262796.60943888,16365.66957533383,-0.0001504445310082741,0.000668670237521996,7.862027506982296e-06,2.3156508580891908e-05,-0.0001032983979622264,0.01000381263419606,-320.2206174195748,1423.26208120926,16.73429592676313,3.457688651109446e-09,-1.552119064331055e-08,4.069053470100223e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028605512.830164,1637201414.940086,169180136.2382186,222223961.65185943,89.56669903761586,89.59265059371992,0.025951556104061524,1.9697652005966444,12563410.988537459,0.07463610492551709,-0.08002977786611469,0.33106217274630073,1.3616750594834457,583.1677197437181,-26938.284649340567,584.5293948032015,-581.8060446842346,-715599.9738821142
18.14792722797394,-2731771.560173464,12262574.8749164,34235.14740496052,-0.0001512410700670833,0.0006722124397865398,1.084540746365692e-05,3.259625085868188e-05,-0.0001456697144584526,0.0100573283560639,-318.49542217706164,1415.59818842543,22.839117888332463,7.23353032135264e-09,-3.2470474243164066e-08,4.069169267914676e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028630278.74146,1637206114.255072,169183124.94266582,222241039.54372272,89.56660993279617,89.59284196144601,0.02623202864984364,1.9697465014672912,12563219.749141594,0.15613289619521709,-0.08003092507097961,0.33061907064359614,1.3604125242785585,583.1432101270951,-26938.61343099775,584.5036226513737,-581.7827976028166,-715638.7875993468
18.15388769245148,-2731705.014016705,12262277.31640409,52204.77035743863,-0.0001525567158797162,0.0006780611145074549,1.3925627616121991e-05,4.232990762256063e-05,-0.0001893575598685946,0.01014670652662107,-315.6992378198943,1403.1724254872559,28.817544997754602,1.103120595078664e-08,-4.9517433166503915e-08,4.069285405411716e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028658985.544504,1637209847.022294,169186692.5739974,222262445.94821212,89.56640455586901,89.59309979507171,0.02669523920269512,1.9697277746921338,12562976.661844533,0.23809019954413202,-0.08003207416618707,0.3301861382985034,1.358709264850006,583.1089933396099,-26938.994518771524,584.46770260446,-581.75028407476,-715690.9093073134
18.15984815692902,-2731620.900930192,12261900.91427076,70328.16821394977,-0.0001535846588435335,0.000682631447002771,1.704984069687566e-05,5.220334915221338e-05,-0.0002336765208813764,0.01021447540182161,-313.5246908286111,1393.5103608848651,34.805208237698174,1.4861954083948919e-08,-6.671373748779298e-08,4.069402439622167e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028691890.3596551,1637212630.376822,169190871.93438807,222288388.0484453,89.56635984998162,89.59342652743669,0.027066677455067634,1.9697088800834948,12562679.365049366,0.3207538893552595,-0.0800332353229206,0.3297596355574048,1.3565500330388431,583.0647581464775,-26939.431325869824,584.4213081795164,-581.7082081134387,-715756.8167463833
18.16580862140655,-2731519.042412905,12261444.85871796,88570.61028549436,-0.0001535279040472434,0.0006823806770474193,2.008812369427018e-05,6.180556775566237e-05,-0.00027678047686489665,0.01020371066430645,-313.5668747126242,1393.700888407886,41.02817793770312,1.8719008741110468e-08,-8.402728271484376e-08,4.069520101489731e-06,15482.752161188233,-1.602e-19,1.602e-19,1.602e-19,1.602e-19,9.109381879999999e-31,1.6726e-27,6.6904e-27,2.67616e-26,2028728986.779576,1637214424.822161,169195664.3909486,222318897.56646547,89.56675479902518,89.59382316112728,0.027068362102099286,1.9696898877101012,12562327.453758389,0.4039668780721257,-0.08003440010507393,0.3293316173918372,1.353929213182255,583.0103645840849,-26939.92376697502,584.3642937972671,-581.6564353709026,-715836.6860653021
