time,posx,posy,posz,vprelx,vprely,vprelz,vgrelx,vgrely,vgrelz,nx,ny,nz,Bx,By,Bz,w,Ne,NH,NHe,NO,psi,theta_res,gendrin,Y,L,alt,lat,lon,damp,S_stix,D_stix,P_stix,R_stix,L_stix,wce,wcH,wcHe,wcO,wpe,wpH,wpHe,wpO,wlhr,wuhr
0.0,-6929260.31580456,31092223.72502019,-555.9746331907809,2.514135466536416e-07,-9.936009259605514e-07,-0.01957445619493435,3.2994921522298695e-07,-1.4230581200989418e-06,-0.02790179304356713,0.0006561592600883625,-0.0025931794729404808,-51.086987413588325,-2.843065959570319e-12,1.275728549808264e-11,2.4962350898502023e-07,12566.37061435917,323252013.01649636,303661727.6149758,17418102.30360314,2172183.097917391,8.566715585446431e-05,73.40319798167239,0.9659467677272369,73.40311231451653,4.9944051075891895,31855000.000000004,-0.000999999999990564,-3.350234054236505e-15,1.0,578.9591792291224,2031.0929330149277,-6517.234671452183,2610.05211224405,-1452.1337537858053,43904.28426035897,23.91133186159847,5.977832965399617,1.4944582413499043,1014290.0147939496,22942.196386146737,2747.3272043235684,485.09655170198386,1024.601796006131,1015239.7846258414
0.001,-6929259.748067591,31092221.19507692,-8922.049256544637,-2.696878934400745e-07,1.340606912596006e-06,-0.01957445509191464,3.4556363349797273e-06,-1.545165873516723e-05,-0.02790179089028608,-0.0007038531954004397,0.003498823944858634,-51.08699018307225,-4.562031170041909e-11,2.047236263751984e-10,2.4962348500429766e-07,12566.37061435917,323251977.1021045,303661693.4461228,17418100.62627089,2172183.0297106393,0.05214438086049896,73.40320236390316,0.9659469467608216,73.35105798304267,4.994405286475058,31854998.65174606,-0.016047584219990085,-6.864231457997092e-09,0.9998207695124188,578.9587913603408,2031.0920956365562,-6517.233947250363,2610.050886996897,-1452.1333042762155,43904.29548088326,23.911337972566557,5.977834493141639,1.4944586232854098,1014289.9584484225,22942.195095387175,2747.327072042205,485.09654408594537,1024.602057861102,1015239.7288182606
0.002,-6929258.243468308,31092214.4606992,-17286.44315482545,-7.901510531289394e-07,3.674685506613688e-06,-0.01957444948251052,6.582054729147411e-06,-2.947731941466414e-05,-0.02790178160420119,-0.002062201003750136,0.009590495526389218,-51.08700318861993,-8.840337212084369e-11,3.9665153622627265e-10,2.496233960978578e-07,12566.37061435917,323251868.9012064,303661590.6966669,17418095.45767456,2172182.746864934,0.10427831594947436,73.4032129254782,0.9659473782886784,73.29893460952873,4.994405823029996,31854995.192212835,-0.031092149855908247,-1.3475040709522569e-08,0.9996416038571616,578.9578177907746,2031.08994134475,-6517.231765416821,2610.0477591355248,-1452.1321235539756,43904.32252594311,23.911352701958283,5.977838175489571,1.4944595438723927,1014289.7886937088,22942.191213932394,2747.326664425267,485.0965125030914,1024.6026890154737,1015239.5603919257
0.003,-6929255.80209159,31092203.52281494,-25650.192254751022,-1.309528062962863e-06,6.008449263851825e-06,-0.01957444069835414,9.7078236210724e-06,-4.350199661693064e-05,-0.02790176780356033,-0.0034177165644111358,0.01568135663242571,-51.08702295580026,-1.311721494119184e-10,5.885648727416992e-10,2.496232664650462e-07,12566.37061435917,323251688.430873,303661419.38278437,17418086.79864995,2172182.249438719,0.15640665459651,73.40323132654511,0.9659481301087078,73.2468246719486,4.994406717170164,31854989.621836778,-0.04613556419754161,-2.0046483564418715e-08,0.9994624786089455,578.9561359869637,2031.0862385988917,-6517.22812629579,2610.042374585855,-1452.130102611928,43904.36964470918,23.911378363974446,5.9778445909936115,1.4944611477484029,1014289.5055565339,22942.184742392157,2747.3259815385472,485.09645695994334,1024.6037886327683,1015239.279557296
0.00425,-6929251.432416008,31092183.93550348,-36106.16645044,-1.964831616921102e-06,8.925334831837338e-06,-0.01957442422422401,1.361248880164509e-05,-6.103538763116312e-05,-0.02790174222528913,-0.005127990957664063,0.02329412653869354,-51.087059857369844,-1.846336458760724e-10,8.284866213798524e-10,2.496230284903702e-07,12566.37061435917,323251361.1721749,303661108.78168815,17418071.06459732,2172181.325889519,0.2215766965187763,73.40326407792597,0.965949468256002,73.18168738140719,4.994408337911303,31854979.688395277,-0.06494216650584406,-2.7801802120235407e-08,0.9992385771983476,578.953131784078,2031.079610199365,-6517.2215272393105,2610.032741983443,-1452.126478415287,43904.45351063357,23.911424039379106,5.977856009844777,1.4944640024611942,1014288.9921251135,22942.173009144044,2747.324740685236,485.096353835426,1024.6057458236744,1015238.7702330156
0.0058125,-6929243.911208935,31092150.21078435,-49176.33932784781,-2.776860930832845e-06,1.257108971585328e-05,-0.019574394531950118,1.849756017743048e-05,-8.295284784634925e-05,-0.02790169595503094,-0.007247317157346937,0.03280923188217643,-51.08712638826048,-2.514755839091991e-10,1.1283946037292481e-09,2.4962260282329347e-07,12566.37061435917,323250793.2611392,303660569.83533037,17418043.72581387,2172179.699994906,0.3030355640677191,73.40331959262862,0.9659517364838285,73.1002840285609,4.994411149766978,31854962.631014857,-0.08845082780885605,-3.7044644002279946e-08,0.9989587396200958,578.9480159440477,2031.0682918647553,-6517.210075513653,2610.016307808803,-1452.1202759207076,43904.5956685516,23.911501462009085,5.977875365502271,1.4944688413755678,1014288.1011371176,22942.15264992498,2747.3225846329,485.0961722861955,1024.609063383036,1015237.8862262572
0.007765625,-6929231.294503301,31092093.62393078,-65512.408114239406,-3.794897668987185e-06,1.71281039805957e-05,-0.019574344270315142,2.4601518184898318e-05,-0.0001103472266546031,-0.02790161785570124,-0.009904333964408173,0.0447027764114136,-51.087238628819925,-3.350132530077125e-10,1.5032441616058349e-09,2.4962189011273713e-07,12566.37061435917,323249835.2839349,303659660.78245765,17417997.57039809,2172176.931079105,0.40485139060347436,73.40341309378978,0.9659555567639913,72.99856170318631,4.9944158921306165,31854934.062521894,-0.11783377511676463,-4.700464047002678e-08,0.9986090312608892,578.9393969839733,2031.0492197083076,-6517.190758241929,2609.988616692281,-1452.1098227243344,43904.83510168957,23.911631863069417,5.977907965767354,1.4944769914418385,1014286.598177775,22942.11830953401,2747.3189446173456,485.09586310577083,1024.6146510679082,1015236.3950274586
0.01020703125,-6929210.493190609,31092000.32104214,-85934.96553764488,-5.0575295364676976e-06,2.2826659359023708e-05,-0.01957426064516887,3.223733853318105e-05,-0.000144594576703705,-0.02790148909320766,-0.01319979159056205,0.05957595384767759,-51.087425034797924,-4.3945476193971364e-10,1.971867799758911e-09,2.4962071228229927e-07,12566.37061435917,323248249.94961536,303658156.4859312,17417921.14455704,2172172.319127007,0.5321351938577882,73.40356736260205,0.9659618598863402,72.87143216874426,4.994423739275612,31854887.016609076,-0.15456707812171544,-6.05032830960182e-08,0.9981718975578528,578.9251681237151,2031.0177226320789,-6517.158790536387,2609.942890755794,-1452.0925545083637,43905.230152116485,23.91184701705767,5.977961754264418,1.4944904385661044,1014284.110960227,22942.061483099547,2747.312917334633,485.0953481292882,1024.623870415368,1015233.9272212529
0.0132587890625,-6929176.632248348,31091848.44465179,-111462.4078341198,-6.6372511234223685e-06,2.9948632307417853e-05,-0.0195741237433097,4.178146464726138e-05,-0.0001874047692786772,-0.027901278487675568,-0.01732297681324849,0.07816480850319181,-51.087729760354435,-5.700031200516956e-10,2.557639837265015e-09,2.496187938802136e-07,12566.37061435917,323245662.50745565,303655701.3941105,17417796.35662146,2172164.756723686,0.6912334648072123,73.40381873511177,0.9659721304369816,72.71258527030456,4.9944365456948825,31854810.506020166,-0.20048270492745246,-8.427203067971894e-08,0.997625526070672,578.9019759281857,2030.9663739263776,-6517.106615681663,2609.8683498545633,-1452.064397998192,43905.8738813346,23.912197607511946,5.978049401877986,1.4945123504694966,1014280.0515310996,22941.96873903827,2747.3030759730104,485.09450370045715,1024.6388932147988,1015229.8994292937
0.017073486328125,-6929122.030290743,31091603.52467138,-143370.6593068008,-8.619651337359681e-06,3.884991021833698e-05,-0.019573901841513808,5.370781025412868e-05,-0.00024091990470956134,-0.0279009374587715,-0.02249743946015586,0.1013989393493557,-51.088223228920015,-7.331759681867798e-10,3.289851188659668e-09,2.496156956822497e-07,12566.37061435917,323241481.7894886,303651734.6281273,17417594.66546563,2172152.495895652,0.8901022528818204,73.40422418578147,0.9659886961876775,72.51412193289966,4.994457236902617,31854687.20599793,-0.25787606592943746,-1.1713400014819218e-07,0.9969425213744398,578.8645563968323,2030.8835068288997,-6517.022312985536,2609.748063225732,-1452.0189504320674,43906.91222512725,23.912763114578752,5.978190778644688,1.494547694661172,1014273.4923826903,22941.818888865895,2747.287169588369,485.09313463564183,1024.6631251901222,1015223.391323961
