time,damp
0.0,1.0
0.001,0.9999103807404035
0.002,0.9998207858697286
0.003,0.9997312031786072
0.00425,0.9996192161009848
0.0058125,0.9994792342115446
0.007765625,0.9993042736128417
0.01020703125,0.9990855306518319
0.0132587890625,0.998812057431563
0.017073486328125,0.9984700903754903
0.02184185791015625,0.9980423484771219
0.0266102294921875,0.9976141687134692
0.03257069396972656,0.9970780273290747
0.04002127456665039,0.9964061546860877
0.04933450031280517,0.9955627798003125
0.05864772605895996,0.9947151277331876
0.06796095180511474,0.9938624254530523
0.07727417755126953,0.993003781303141
0.08658740329742431,0.9921384481260888
0.0959006290435791,0.9912656220511068
0.1052138547897339,0.9903845403396798
0.1145270805358887,0.9894944795948187
0.1238403062820435,0.9885947105687357
0.1331535320281982,0.9876845135625761
0.142466757774353,0.9867632007451972
0.1517799835205078,0.9858301056092227
0.1610932092666626,0.9848845611798387
0.1704064350128174,0.983925941012749
0.1797196607589722,0.9829536136780147
0.189032886505127,0.9819669635274102
0.1983461122512817,0.9809654114373553
0.2076593379974365,0.9799483738992574
0.2169725637435913,0.9789152883390271
0.2262857894897461,0.9778656312025704
0.2355990152359009,0.9767988465454327
0.2449122409820557,0.975714459808485
0.2542254667282104,0.9746119582333506
0.2635386924743652,0.9734908852255068
0.27285191822052,0.9723507852663289
0.2821651439666748,0.9711912396046417
0.2914783697128296,0.9700118144893396
0.3007915954589844,0.9688121388187843
0.3101048212051392,0.9675918454772193
0.3194180469512939,0.9663505917349113
0.3287312726974487,0.9650880620987577
0.3380444984436035,0.96380395814085
0.3473577241897583,0.9624980069774762
0.3566709499359131,0.9611699712228571
0.3659841756820679,0.9598196278365492
0.3752974014282227,0.9584467758642354
0.3846106271743774,0.9570512752804157
0.3939238529205322,0.9556329482740998
0.403237078666687,0.9541916933853815
0.4125503044128418,0.9527274014959295
0.4218635301589966,0.9512400116077342
0.4311767559051514,0.9497294717623408
0.4404899816513062,0.948195772169976
0.4498032073974609,0.9466388889438894
0.4591164331436157,0.9450588575065693
0.4684296588897705,0.9434557336848199
0.4777428846359253,0.9418295834026428
0.4870561103820801,0.9401804880234188
0.4963693361282349,0.9385085718406156
0.5056825618743896,0.9368139448455977
0.5149957876205444,0.9350967646093287
0.5243090133666992,0.9333571921557222
0.533622239112854,0.9315954328306953
0.5429354648590088,0.9298116847766502
0.5522486906051636,0.9280061576805244
0.5615619163513184,0.9261791197625523
0.5708751420974731,0.9243308172636272
0.5801883678436279,0.9224615266564088
0.5895015935897827,0.9205715378731687
0.5988148193359375,0.9186611368428901
0.6081280450820923,0.9167306640938327
0.6174412708282471,0.9147804426773344
0.6267544965744019,0.9128108265146355
0.6360677223205566,0.9108221543416658
0.6453809480667114,0.9088148004242849
0.6546941738128662,0.9067891573146919
0.664007399559021,0.9047456148547172
0.6733206253051758,0.9026845610373012
0.6826338510513306,0.9006064023057141
0.6919470767974853,0.898511557519072
0.7012603025436401,0.8964004506947234
0.7105735282897949,0.8942734945968731
0.7198867540359497,0.8921311379177149
0.7291999797821045,0.8899738136150722
0.7385132055282593,0.8878019489545659
0.7478264312744141,0.8856159976264183
0.7571396570205688,0.8834164111417872
0.7664528827667236,0.881203621889427
0.7757661085128784,0.8789780856845636
0.7850793342590332,0.8767402364428888
0.794392560005188,0.8744905366643314
0.8037057857513428,0.8722294287984537
0.8130190114974976,0.8699573493963083
0.8223322372436523,0.8676747266383982
0.8316454629898071,0.8653820051460795
0.8409586887359619,0.8630795976874667
0.8502719144821167,0.8607679510238
0.8595851402282715,0.8584474835527693
0.8688983659744263,0.8561185925844726
0.878211591720581,0.8537816961801459
0.8875248174667358,0.8514371896499866
0.8968380432128906,0.8490854582205504
0.9061512689590454,0.8467268820057634
0.9154644947052002,0.844361843317815
0.924777720451355,0.8419906815773402
0.9340909461975098,0.8396137749126251
0.9434041719436644,0.8372314624805192
0.9527173976898192,0.8348440784507142
0.962030623435974,0.8324519229338219
0.9713438491821288,0.830055305750982
0.9806570749282836,0.8276545350203894
0.9899703006744384,0.8252498916729
0.9992835264205931,0.8228416329033418
1.0085967521667478,0.8204300278518712
1.017909977912903,0.81801528998155
1.0272232036590578,0.8155976662751498
1.0365364294052122,0.8131773578340116
1.045849655151367,0.8107545716381519
1.055162880897522,0.8083294768804535
1.064476106643677,0.805902253067298
1.073789332389832,0.8034730297399857
1.083102558135986,0.8010419319826062
1.092415783882141,0.7986090925613276
1.101729009628296,0.7961746048860376
1.111042235374451,0.793738523833207
1.120355461120605,0.7913009288869652
1.12966868686676,0.7888618538162937
1.138981912612915,0.7864213168238469
1.14829513835907,0.7839793308361905
1.157608364105225,0.7815358694631351
1.1669215898513792,0.7790908798564385
1.1762348155975342,0.7766443006165088
1.185548041343689,0.774196053981586
1.194861267089844,0.771746014941356
1.204174492835999,0.7692940674330304
1.213487718582153,0.7668400469051533
1.2228009443283079,0.7643837834421328
1.2321141700744629,0.7619250604562818
1.241427395820618,0.7594636672143609
1.250740621566772,0.7569993393160783
1.260053847312927,0.7545317739027488
1.269367073059082,0.7520606699825736
1.278680298805237,0.7495856772732584
1.287993524551392,0.7471064247983629
1.297306750297546,0.7446225104832445
1.306619976043701,0.7421335061363876
1.315933201789856,0.7396389353467011
1.325246427536011,0.7371382830905184
1.334559653282166,0.7346310158819785
1.34387287902832,0.7321165373487046
1.353186104774475,0.7295942446344288
1.3624993305206299,0.7270634643327069
1.3718125562667849,0.7245235178450663
1.3811257820129388,0.721973647847396
1.390439007759094,0.7194130621861311
1.399752233505249,0.7168409311847519
